Player,Team,F1,F2,F3,F4,F5,F6,F7,F8
Patrick Dorgu,Man Utd,0.138,0.124,0.163,0.17,0.177,0.177,0.177,0.177
Lisandro Martinez,Man Utd,0.311,0.396,0.425,0.435,0.435,0.435,0.435,0.435
Leny Yoro,Man Utd,0.228,0.33,0.38,0.4,0.4,0.4,0.4,0.4
Benjamin Sesko,Man Utd,0.4,0.55,0.61,0.62,0.62,0.62,0.62,0.62
Marcus Rashford,Man Utd,0.315,0.408,0.43,0.444,0.444,0.444,0.444,0.444
Mason Mount,Man Utd,0.256,0.34,0.36,0.35,0.35,0.35,0.35,0.35
Joshua Zirkzee,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sven Botman,Newcastle,0.5,0.9,0.88,0.87,0.86,0.85,0.85,0.85
Malick Thiaw,Newcastle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lewis Hall,Newcastle,0.92,0.88,0.86,0.85,0.85,0.85,0.85,0.85
Amar Dedic,Newcastle,0.85,0.6,0.5,0.45,0.42,0.42,0.42,0.42
Lukás Hornícek,Newcastle,0.95,0.93,0.92,0.92,0.92,0.92,0.92,0.92
Anthony Elanga,Newcastle,0.839,0.806,0.801,0.8,0.798,0.798,0.798,0.798
Jacob Ramsey,Newcastle,0.88,0.78,0.74,0.72,0.7,0.7,0.7,0.7
Yoane Wissa,Newcastle,0.821,0.788,0.765,0.755,0.753,0.753,0.753,0.753
Aladji Bamba,Newcastle,0.58,0.45,0.4,0.38,0.37,0.37,0.37,0.37
William Osula,Newcastle,0.7,0.62,0.58,0.55,0.53,0.52,0.52,0.52
Harvey Barnes,Newcastle,0.64,0.6,0.58,0.57,0.56,0.56,0.56,0.56
Joe Willock,Newcastle,0.1,0.049,0.05,0.05,0.05,0.05,0.05,0.05
Bazoumana Touré,Newcastle,0.36,0.4,0.42,0.43,0.44,0.44,0.44,0.44
Sean Steur,Newcastle,0.35,0.268,0.25,0.24,0.23,0.23,0.23,0.23
Nick Woltemade,Newcastle,0.12,0.039,0.03,0.03,0.03,0.03,0.03,0.03
Jacob Murphy,Newcastle,0.185,0.168,0.173,0.174,0.174,0.174,0.174,0.174
Dan Burn,Newcastle,0.2,0.268,0.3,0.32,0.32,0.32,0.32,0.32
Nick Pope,Newcastle,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Joelinton,Newcastle,0.05,0.55,0.62,0.65,0.66,0.66,0.66,0.66
Lewis Miley,Newcastle,0.1,0.135,0.16,0.16,0.16,0.16,0.16,0.16
Tino Livramento,Newcastle,0.12,0.5,0.6,0.65,0.67,0.67,0.67,0.67
Fabian Schar,Newcastle,0.18,0.24,0.28,0.3,0.3,0.3,0.3,0.3
Neco Williams,Nott'm Forest,0.92,0.75,0.7,0.68,0.66,0.66,0.66,0.66
Nikola Milenkovic,Nott'm Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Morgan Gibbs-White,Nott'm Forest,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Matz Sels,Nott'm Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ousmane Diomande,Nott'm Forest,0.805,0.78,0.776,0.782,0.781,0.781,0.781,0.781
Murillo dos Santos,Nott'm Forest,0.805,0.78,0.776,0.782,0.781,0.781,0.781,0.781
Xaver Schlager,Nott'm Forest,0.75,0.7,0.67,0.65,0.64,0.64,0.64,0.64
Ola Aina,Nott'm Forest,0.805,0.78,0.776,0.782,0.781,0.781,0.781,0.781
Ibrahim Sangare,Nott'm Forest,0.76,0.709,0.688,0.666,0.666,0.666,0.666,0.666
Dan Ndoye,Nott'm Forest,0.58,0.55,0.54,0.53,0.52,0.52,0.52,0.52
Igor Jesus,Nott'm Forest,0.8,0.72,0.68,0.66,0.65,0.65,0.65,0.65
Chris Wood,Nott'm Forest,0.38,0.36,0.35,0.34,0.33,0.33,0.33,0.33
Omari Hutchinson,Nott'm Forest,0.289,0.322,0.319,0.321,0.321,0.321,0.321,0.321
Callum Hudson-Odoi,Nott'm Forest,0.15,0.18,0.2,0.2,0.2,0.2,0.2,0.2
Nicolas Dominguez,Nott'm Forest,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Felipe Rodrigues da Silva,Nott'm Forest,0.081,0.082,0.08,0.081,0.082,0.082,0.082,0.082
Jair Paula da Cunha Filho,Nott'm Forest,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Arnaud Kalimuendo,Nott'm Forest,0.12,0.15,0.18,0.2,0.2,0.2,0.2,0.2
Sandro Tonali,Spurs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Antonín Kinský,Spurs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jan Paul van Hecke,Spurs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Marcos Senesi,Spurs,0.6,0.45,0.4,0.36,0.34,0.34,0.34,0.34
Mathys Tel,Spurs,0.72,0.55,0.5,0.48,0.46,0.46,0.46,0.46
Archie Gray,Spurs,0.5,0.35,0.139,0.13,0.148,0.145,0.145,0.145
Richarlison,Spurs,0.67,0.52,0.45,0.42,0.4,0.4,0.4,0.4
Mateus Fernandes,Spurs,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Conor Gallagher,Spurs,0.75,0.68,0.65,0.64,0.62,0.62,0.62,0.62
Andrew Robertson,Spurs,0.85,0.7,0.6,0.55,0.52,0.5,0.5,0.5
Mikey Moore,Spurs,0.4,0.133,0.094,0.087,0.096,0.094,0.094,0.094
Lucas Bergvall,Spurs,0.15,0.054,0.048,0.049,0.055,0.054,0.054,0.054
Destiny Udogie,Spurs,0.15,0.178,0.42,0.48,0.52,0.55,0.55,0.55
James Maddison,Spurs,0.35,0.55,0.62,0.64,0.65,0.65,0.65,0.65
Dominic Solanke,Spurs,0.35,0.48,0.5,0.48,0.45,0.45,0.45,0.45
Pedro Porro,Spurs,0.5,0.75,0.82,0.85,0.85,0.85,0.85,0.85
Rodrigo Bentancur,Spurs,0.15,0.11,0.103,0.106,0.125,0.122,0.122,0.122
Micky van de Ven,Spurs,0.5,0.78,0.82,0.82,0.82,0.82,0.82,0.82
Mohammed Kudus,Spurs,0.12,0.4,0.5,0.55,0.58,0.58,0.58,0.58
Xavi Simons,Spurs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin Roefs,Sunderland,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dan Ballard,Sunderland,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Granit Xhaka,Sunderland,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Enzo Le Fee,Sunderland,0.838,0.767,0.74,0.722,0.722,0.722,0.722,0.722
Noah Sadiki,Sunderland,0.838,0.767,0.74,0.722,0.722,0.722,0.722,0.722
Trai Hume,Sunderland,0.838,0.794,0.776,0.768,0.767,0.767,0.767,0.767
Luke O'Nien,Sunderland,0.8,0.75,0.72,0.7,0.7,0.7,0.7,0.7
Brian Brobbey,Sunderland,0.791,0.74,0.722,0.704,0.704,0.704,0.704,0.704
Reinildo Mandava,Sunderland,0.79,0.68,0.65,0.64,0.63,0.63,0.63,0.63
Thomas Meunier,Sunderland,0.62,0.62,0.6,0.58,0.57,0.57,0.57,0.57
Nilson Angulo,Sunderland,0.66,0.58,0.5,0.45,0.42,0.42,0.42,0.42
Chemsdine Talbi,Sunderland,0.56,0.58,0.56,0.54,0.52,0.52,0.52,0.52
Wilson Isidor,Sunderland,0.223,0.246,0.32,0.32,0.319,0.319,0.319,0.319
Chris Rigg,Sunderland,0.315,0.408,0.4,0.4,0.399,0.399,0.399,0.399
Arthur Masuaku,Sunderland,0.095,0.095,0.097,0.1,0.103,0.102,0.102,0.102
Omar Alderete,Sunderland,0.166,0.216,0.246,0.276,0.284,0.282,0.282,0.282
Habib Diarra,Sunderland,0.231,0.406,0.469,0.524,0.541,0.541,0.541,0.541
Nordi Mukiele,Sunderland,0.166,0.216,0.238,0.258,0.266,0.263,0.263,0.263
Simon Adingra,Sunderland,0.0,0.046,0.133,0.203,0.237,0.244,0.244,0.244
Matteo Ruggeri,Aston Villa,0.145,0.2,0.211,0.211,0.34,0.34,0.34,0.34
Nico Elvedi,Leeds,0.125,0.152,0.163,0.146,0.136,0.131,0.131,0.131
Matthijs de Ligt,Man Utd,0.071,0.408,0.52,0.551,0.577,0.577,0.577,0.577
Lucas Gourna-Douath,Hull City,0.45,0.52,0.52,0.52,0.52,0.52,0.52,0.52
Josh Acheampong,Chelsea,0.196,0.228,0.235,0.24,0.241,0.241,0.241,0.241
James McAtee,Nott'm Forest,0.18,0.18,0.19,0.2,0.2,0.2,0.2,0.2
Ryan Yates,Nott'm Forest,0.35,0.45,0.48,0.5,0.5,0.5,0.5,0.5
Pep Chavarría,Chelsea,0.133,0.219,0.255,0.283,0.315,0.315,0.315,0.315
Nicolas Jackson,Chelsea,0.039,0.041,0.041,0.042,0.042,0.042,0.042,0.042
Conor Bradley,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kobbie Mainoo,Man Utd,0.211,0.329,0.382,0.401,0.401,0.401,0.401,0.401
Anan Khalaili,Crystal Palace,0.177,0.303,0.379,0.424,0.425,0.425,0.425,0.425
Hugo Ekitike,Liverpool,0.0,0.0,0.0,0.0,0.0,0.2,0.297,0.297
Jack Taylor,Ipswich Town,0.233,0.4,0.45,0.45,0.45,0.45,0.45,0.45
George Hemmings,Aston Villa,0.213,0.12,0.07,0.062,0.037,0.037,0.037,0.037
Tyrone Mings,Aston Villa,0.193,0.2,0.169,0.147,0.069,0.069,0.069,0.069
Lamare Bogarde,Aston Villa,0.145,0.12,0.103,0.091,0.047,0.047,0.047,0.047
Tammy Abraham,Aston Villa,0.174,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Aaron Wan-Bissaka,Aston Villa,0.145,0.28,0.33,0.35,0.35,0.35,0.35,0.35
Pape Matar Sarr,Spurs,0.2,0.35,0.38,0.4,0.4,0.4,0.4,0.4
Ben Davies,Spurs,0.1,0.065,0.057,0.058,0.067,0.065,0.065,0.065
Nicolo Savona,Nott'm Forest,0.0,0.1,0.2,0.25,0.28,0.3,0.3,0.3
Romaine Mundle,Sunderland,0.069,0.088,0.09,0.093,0.096,0.095,0.095,0.095
Wilfried Gnonto,Leeds,0.0,0.134,0.169,0.175,0.169,0.162,0.162,0.162
